compound_chembl_id,standard_inchi_key,smiles,hERG_blocker,pIC50,median_pIC50_equiv,std_pIC50_equiv,high_discordance,label_conflict,label_source,best_evidence_tier,n_measurements,n_exact_potency,n_pct_inhibition,n_censored,n_activator_rows,endpoints_used,source
CHEMBL2216904,BURJAQFYNVMZDV-FIRIVFDPSA-N,COc1cc2c(cc1O)[C@@H](Cc1ccc(O)c(Oc3ccc(C[C@@H]4c5cc(OC)c(OC)cc5CCN4C)cc3)c1)N(C)CC2,1,5.029,5.029,0.016,False,False,exact_potency,1,2,2,0,0,0,IC50,chembl
CHEMBL468308,BUSSQQRPMMHCBN-SJORKVTESA-N,Cc1ccc(-c2c(C)c(CN[C@H]3CC[C@@H](F)C3)nn2-c2ncccc2Cl)cn1,0,4.538,4.538,0.0,False,False,exact_potency,1,2,2,0,0,0,IC50,"bindingdb,chembl"
CHEMBL3237580,BUVISXHSPQDMOD-NWDGAFQWSA-N,CC(C)c1nc(Nc2cc(N[C@@H]3CCOC[C@@H]3N)nnc2C(N)=O)ccc1F,1,5.1,5.1,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
BUWXSPMATPYJJT-AZUAARDMSA-N,BUWXSPMATPYJJT-AZUAARDMSA-N,Cn1nccc1[C@H]1CN(C2CCN(c3nnc(N)[nH]3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,bindingdb
CHEMBL215023,BUXRKQONBGINRO-UHFFFAOYSA-N,COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3cccc(F)c3)c2c1,0,4.475,4.475,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
BUYSICCVEGSGGN-UHFFFAOYSA-N,BUYSICCVEGSGGN-UHFFFAOYSA-N,COc1cc(Cl)ccc1-c1cnn(Cc2ccn(C)n2)c1,0,4.199,4.199,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
BUZAYDYQPINNKR-UHFFFAOYSA-N,BUZAYDYQPINNKR-UHFFFAOYSA-N,CNCC(Cc1ccccc1CO)c1ccc2ccccc2c1,0,4.872,4.872,0.069,False,False,exact_potency,1,2,2,0,0,0,IC50,bindingdb
CHEMBL481280,BUZBVOKDNAZIIM-UHFFFAOYSA-N,O=C(O)C1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,0,,,,False,False,censored_rescue,3,3,0,0,3,0,IC50,"bindingdb,chembl"
CHEMBL1836170,BVAJDOKRKXCEOR-UHFFFAOYSA-N,CC(C)Oc1ncc(-c2nc(-c3ccc4c(c3)CCNCC4)no2)cc1C#N,1,5.5,5.5,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL2333641,BVALXLKHALQQPF-UHFFFAOYSA-N,CN1CCC(COCc2cc(C(F)(F)F)cc(Cl)n2)(c2ccc(Cl)cc2)CC1,0,4.638,4.638,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL5095095,BVBRUQYHUXKZMQ-JNVAYQLDSA-N,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL3962762,BVCBGQASRGPDLU-UHFFFAOYSA-N,CC(=O)c1ccc(Oc2ccc3nc(C(=O)N4CCNCC4)ccc3c2)cc1,0,4.627,4.627,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL2440384,BVCFAWDAKFKKOG-UVHMKAGCSA-N,Cc1ccc(S(=O)(=O)N/N=C/c2cn(CC(=O)Nc3ccc(F)cc3F)c3ccccc23)cc1,0,4.367,4.367,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL549699,BVDPSUAZHYUEMT-UHFFFAOYSA-N,Cc1nc(SCc2cc(N3CCOCC3)cc(NCC#N)n2)n(C)c1C,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL2022499,BVEQYIGPZVYYSV-UHFFFAOYSA-N,O=C(Nc1ccc(-c2nnc(NCCCN3CCCC3)o2)cc1)c1ccccc1F,1,5.1,5.1,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4794331,BVFHNVGHDQLSPB-UHFFFAOYSA-N,N#Cc1ccc(NC(=O)C(=O)N2CCC(c3ccnc4ccc(F)cc34)CC2)cc1,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL1083999,BVFZJGAGNXQJAM-UHFFFAOYSA-N,CN(C)CCCCc1ccc(C(C)(C)C)cc1,1,5.125,5.125,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
